anchor_ts_ms,hedge_ts_ms,market_end_ms,market_slug,leg1_budget,first_ask,second_ask,qty,leg1_cost,leg2_cost,friction,total_cost,pair_cost_net,status,payout,pnl
1789765359942,1789765374995,1789765500000,btc-updown-5m-1789765200,50.0,0.11,0.9,98.56,10.8416,88.70400000000001,0.4928,100.03840000000001,1.015,SETTLED,98.56,-1.4784000000000077
1789765375566,1789765390643,1789765500000,btc-updown-5m-1789765200,50.0,0.11,0.9,223.79,24.616899999999998,201.411,1.11895,227.14685,1.015,SETTLED,223.79,-3.3568500000000085
1789765390643,1789765405676,1789765500000,btc-updown-5m-1789765200,50.0,0.11,0.9,160.10812154696137,17.611893370165753,144.09730939226523,0.8005406077348068,162.50974337016578,1.015,SETTLED,160.10812154696137,-2.401621823204408
1789765741765,1789765756815,1789765800000,btc-updown-5m-1789765500,50.0,0.07,0.93,7.0,0.49000000000000005,6.510000000000001,0.035,7.035000000000001,1.005,SETTLED,7.0,-0.03500000000000103
1789765757479,1789765772552,1789765800000,btc-updown-5m-1789765500,50.0,0.08,0.94,199.77,15.981600000000002,187.78379999999999,0.9988500000000001,204.76425,1.025,SETTLED,199.77,-4.994249999999994
1789765773058,1789765788065,1789765800000,btc-updown-5m-1789765500,50.0,0.07,0.94,167.0,11.690000000000001,156.98,0.835,169.505,1.015,SETTLED,167.0,-2.5049999999999955
1789765788917,1789765803979,1789765800000,btc-updown-5m-1789765500,50.0,0.07,0.28,207.0,14.490000000000002,57.96000000000001,1.035,73.48500000000001,0.35500000000000004,SETTLED,207.0,133.515
1789766650992,1789766666015,1789766700000,btc-updown-5m-1789766400,50.0,0.14,0.92,19.16,2.6824000000000003,17.627200000000002,0.0958,20.405400000000004,1.065,SETTLED,19.16,-1.2454000000000036
1789766666619,1789766681643,1789766700000,btc-updown-5m-1789766400,50.0,0.1,0.94,50.0,5.0,47.0,0.25,52.25,1.045,SETTLED,50.0,-2.25
1789766682038,1789766703624,1789766700000,btc-updown-5m-1789766400,50.0,0.09,0.5,67.38,6.0642,33.69,0.3369,40.0911,0.595,SETTLED,67.38,27.288899999999998
1789768449781,1789768464781,1789768500000,btc-updown-5m-1789768200,50.0,0.03,0.98,136.33,4.0899,133.60340000000002,0.6816500000000001,138.37495,1.015,SETTLED,136.33,-2.04495
1789768465395,1789768480396,1789768500000,btc-updown-5m-1789768200,50.0,0.03,0.98,16.33,0.48989999999999995,16.0034,0.08164999999999999,16.574949999999998,1.015,SETTLED,16.33,-0.24494999999999933
1789768481257,1789768496281,1789768500000,btc-updown-5m-1789768200,50.0,0.03,0.99,465.87786751436727,13.976336025431017,461.2190888392236,2.329389337571836,477.5248142022265,1.025,SETTLED,465.87786751436727,-11.646946687859213
1789768731390,1789768746406,1789768800000,btc-updown-5m-1789768500,50.0,0.04,0.97,134.99,5.3996,130.9403,0.67495,137.01485,1.015,SETTLED,134.99,-2.0248499999999865
1789768747005,1789768762014,1789768800000,btc-updown-5m-1789768500,50.0,0.04,0.97,167.23,6.6892,162.2131,0.83615,169.73845,1.015,SETTLED,167.23,-2.5084500000000105
1789768762883,1789768777900,1789768800000,btc-updown-5m-1789768500,50.0,0.04,0.97,157.14,6.2856,152.42579999999998,0.7857,159.49709999999996,1.015,SETTLED,157.14,-2.357099999999974
1789768778640,1789768793683,1789768800000,btc-updown-5m-1789768500,50.0,0.04,0.97,147.94926306557568,5.917970522623027,143.5107851736084,0.7397463153278784,150.16850201155933,1.015,SETTLED,147.94926306557568,-2.2192389459836477
1789772608976,1789772624027,1789772700000,btc-updown-5m-1789772400,50.0,0.14,0.87,149.0,20.860000000000003,129.63,0.745,151.235,1.015,SETTLED,149.0,-2.2350000000000136
1789772624721,1789772639744,1789772700000,btc-updown-5m-1789772400,50.0,0.14,0.87,357.1428571428571,50.0,310.71428571428567,1.7857142857142856,362.49999999999994,1.015,SETTLED,357.1428571428571,-5.357142857142833
1789772640395,1789772655411,1789772700000,btc-updown-5m-1789772400,50.0,0.14,0.87,79.10547719194584,11.074766806872418,68.82176515699288,0.3955273859597292,80.29205934982502,1.015,SETTLED,79.10547719194584,-1.1865821578791866
1789772656040,1789772671370,1789772700000,btc-updown-5m-1789772400,50.0,0.14,0.87,1.7415236492886663,0.2438133109004133,1.5151255748811396,0.008707618246443331,1.7676465040279963,1.015,SETTLED,1.7415236492886663,-0.02612285473932996
1789773246231,1789773261256,1789773300000,btc-updown-5m-1789773000,50.0,0.05,0.96,501.33,25.0665,481.2768,2.50665,508.84995,1.015,SETTLED,501.33,-7.519949999999994
1789773261808,1789773276845,1789773300000,btc-updown-5m-1789773000,50.0,0.05,0.96,95.69647116392872,4.784823558196436,91.86861231737157,0.4784823558196436,97.13191823138766,1.015,SETTLED,95.69647116392872,-1.435447067458938
1789775849650,1789775864787,1789776000000,btc-updown-5m-1789775700,50.0,0.08,0.93,590.7750241772536,47.26200193418029,549.4207724848459,2.953875120886268,599.6366495399125,1.015,SETTLED,590.7750241772536,-8.861625362658856
1789776473231,1789776488249,1789776600000,btc-updown-5m-1789776300,50.0,0.07,0.94,20.0,1.4000000000000001,18.799999999999997,0.1,20.299999999999997,1.015,SETTLED,20.0,-0.29999999999999716
1789776489389,1789776504401,1789776600000,btc-updown-5m-1789776300,50.0,0.07,0.94,75.0,5.250000000000001,70.5,0.375,76.125,1.015,SETTLED,75.0,-1.125
